"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
65.1272,5.09897,11.849,17.1706,0.0505312,0.70375,1.92152e+08,2.07412e+08,4.22904e+06,4.39532e+06,5.27305e+09,2.31753e+07,4.04845e+09,1.16864e+10,0,0,
61.3402,5.17484,13.1312,19.6448,0.0387813,0.67025,1.88425e+08,1.83215e+08,6.80132e+06,7.5493e+06,5.29942e+09,2.3383e+07,4.2342e+09,1.14741e+10,0,0,
61.1113,4.73041,10.5675,22.9109,0.0468438,0.633063,1.77825e+08,1.79345e+08,4.77744e+06,9.03779e+06,5.31954e+09,2.35781e+07,4.41228e+09,1.12757e+10,0,0,
60.971,5.77313,12.3021,20.2196,0.05075,0.683562,1.7411e+08,1.83567e+08,6.10203e+06,6.18267e+06,5.33979e+09,2.38011e+07,4.60817e+09,1.10593e+10,0,0,
60.2536,4.88559,13.0382,21.047,0.0580937,0.717469,1.78779e+08,1.97875e+08,9.61903e+06,3.15961e+06,5.37038e+09,2.40019e+07,4.7908e+09,1.08459e+10,0,0,
57.2937,4.41216,14.7825,22.8172,0.0388437,0.655281,1.86958e+08,1.91928e+08,3.77344e+06,6.72712e+06,5.39402e+09,2.4181e+07,4.96085e+09,1.0652e+10,0,0,
58.5162,5.81331,13.1817,21.8241,0.0428125,0.621938,1.77678e+08,1.61948e+08,4.68165e+06,5.03891e+06,5.41418e+09,2.43803e+07,5.14842e+09,1.04441e+10,0,0,
61.8724,4.8645,12.7406,19.8366,0.054625,0.631156,1.71549e+08,1.80652e+08,5.49995e+06,5.83483e+06,5.44132e+09,2.45539e+07,5.31607e+09,1.02491e+10,0,0,
60.334,5.06694,12.7537,21.1408,0.03125,0.6735,1.72574e+08,1.97957e+08,5.55082e+06,5.07032e+06,5.47568e+09,2.47352e+07,5.4846e+09,1.00461e+10,0,0,
59.7359,5.57916,12.5394,21.3307,0.054625,0.760406,1.81994e+08,2.10201e+08,5.75389e+06,5.90642e+06,5.51112e+09,2.4937e+07,5.66772e+09,9.8273e+09,0,0,
60.4845,6.32406,11.7411,20.7121,0.0387813,0.699406,1.73365e+08,2.01489e+08,5.88665e+06,5.22907e+06,5.55893e+09,2.51501e+07,5.86785e+09,9.57916e+09,0,0,
56.5583,6.14959,13.7886,22.8139,0.0663438,0.62325,1.80642e+08,1.67962e+08,6.05271e+06,6.80613e+06,5.60361e+09,2.53467e+07,6.05345e+09,9.34868e+09,0,0,
61.4793,5.66884,12.273,19.7907,0.039,0.748969,1.91284e+08,1.73178e+08,5.2925e+06,7.66104e+06,5.6828e+09,2.55393e+07,6.23473e+09,9.08802e+09,0,0,
59.6564,5.34072,12.8416,21.4244,0.0572812,0.679687,1.88194e+08,1.99545e+08,8.5285e+06,4.89485e+06,5.75753e+09,2.57375e+07,6.4139e+09,8.83391e+09,0,0,
59.2888,5.43463,12.25,22.2492,0.0389063,0.738719,1.84258e+08,2.01316e+08,4.83939e+06,4.07554e+06,5.82615e+09,2.59589e+07,6.59264e+09,8.58634e+09,0,0,
60.3676,5.86013,11.6583,21.3222,0.066125,0.725687,1.77359e+08,2.05882e+08,6.56532e+06,6.51688e+06,5.89391e+09,2.61661e+07,6.77268e+09,8.33833e+09,0,0,
60.0435,5.80975,11.3641,22.0547,0.030875,0.697281,1.77185e+08,1.93912e+08,6.2311e+06,7.05945e+06,5.97295e+09,2.63611e+07,6.9547e+09,8.07707e+09,0,0,
60.4154,5.81344,10.0625,22.9449,0.0622187,0.701594,1.88764e+08,1.64609e+08,6.1135e+06,7.54516e+06,6.04521e+09,2.65585e+07,7.1397e+09,7.81962e+09,0,0,
62.379,5.90256,10.4022,20.6148,0.050625,0.651063,1.90034e+08,1.47672e+08,6.26314e+06,5.17025e+06,6.1159e+09,2.6767e+07,7.3314e+09,7.55701e+09,0,0,
64.9771,6.04241,9.22769,19.0584,0.0388125,0.655438,1.95512e+08,1.56424e+08,6.72546e+06,5.37456e+06,6.17782e+09,2.69837e+07,7.53063e+09,7.29565e+09,0,0,
60.0075,5.06472,12.2191,21.9343,0.0584063,0.716062,1.77975e+08,1.86258e+08,6.57192e+06,6.60974e+06,6.2251e+09,2.71741e+07,7.70301e+09,7.0758e+09,0,0,
54.4385,5.45962,14.6487,24.7728,0.042875,0.637438,1.62528e+08,1.65213e+08,6.16421e+06,7.7829e+06,6.2682e+09,2.73676e+07,7.87051e+09,6.865e+09,0,0,
57.4531,6.28759,10.636,24.9548,0.0466875,0.621906,1.72683e+08,1.68638e+08,4.5638e+06,4.55002e+06,6.3115e+09,2.75875e+07,8.06387e+09,6.62813e+09,0,0,
58.0382,4.638,12.3027,24.2721,0.0390313,0.71,1.86857e+08,1.91567e+08,6.06192e+06,4.032e+06,6.34069e+09,2.7765e+07,8.22312e+09,6.43951e+09,0,0,
62.8605,6.23131,10.0343,20.1188,0.0429688,0.712125,1.9242e+08,1.88345e+08,4.85021e+06,6.1169e+06,6.36243e+09,2.79918e+07,8.42865e+09,6.21201e+09,0,0,
59.7207,5.39491,10.9477,23.1537,0.0585938,0.7245,1.92035e+08,2.00049e+08,6.45229e+06,7.8123e+06,6.38513e+09,2.81976e+07,8.6169e+09,6.00086e+09,0,0,
57.6747,5.00394,12.361,24.1662,0.0388437,0.755531,1.81939e+08,1.88904e+08,7.09237e+06,5.64957e+06,6.39546e+09,2.8383e+07,8.78264e+09,5.82461e+09,0,0,
63.0844,5.85006,9.11378,21.1935,0.0348437,0.723469,1.94056e+08,1.81048e+08,6.26601e+06,6.96056e+06,6.41829e+09,2.85972e+07,8.9798e+09,5.6044e+09,0,0,
63.4989,5.73209,9.65966,20.4108,0.0468125,0.65175,1.73907e+08,1.71278e+08,5.9992e+06,4.58302e+06,6.44124e+09,2.88115e+07,9.16611e+09,5.39492e+09,0,0,
62.8545,5.78306,10.4452,20.1586,0.046875,0.711937,1.7427e+08,2.03541e+08,4.70016e+06,3.85003e+06,6.45783e+09,2.90316e+07,9.3573e+09,5.18692e+09,0,0,
55.7328,6.14656,13.1963,24.1159,0.0465625,0.762,1.90393e+08,2.10679e+08,6.34825e+06,7.08848e+06,6.47283e+09,2.92467e+07,9.5576e+09,4.9714e+09,0,0,
58.9677,5.82491,11.1747,23.2641,0.0545,0.714406,1.90578e+08,1.82527e+08,8.54593e+06,7.94615e+06,6.49203e+09,2.94533e+07,9.74594e+09,4.76367e+09,0,0,
59.9143,4.657,12.3445,22.3586,0.0351562,0.690406,1.88167e+08,1.69877e+08,5.18512e+06,6.07655e+06,6.50604e+09,2.96347e+07,9.91674e+09,4.57868e+09,0,0,
63.1096,5.47719,10.2278,20.4991,0.039,0.647281,2.01631e+08,1.72183e+08,4.84487e+06,5.52313e+06,6.52245e+09,2.98409e+07,1.01091e+10,4.36973e+09,0,0,
64.8608,4.81213,9.9535,19.6202,0.0468125,0.706594,1.93854e+08,1.86659e+08,4.05828e+06,5.75911e+06,6.53373e+09,3.00355e+07,1.02886e+10,4.17871e+09,0,0,
62.2428,4.78631,8.93741,23.206,0.0466562,0.780813,1.84391e+08,2.11716e+08,6.30519e+06,5.14325e+06,6.53913e+09,3.02406e+07,1.04647e+10,3.99701e+09,0,0,
62.8718,6.544,9.86403,19.9934,0.0428437,0.683875,1.6795e+08,2.05158e+08,6.23415e+06,7.29708e+06,6.54674e+09,3.04759e+07,1.06575e+10,3.7964e+09,0,0,
63.9222,6.497,9.95166,18.9072,0.0350937,0.686844,1.81345e+08,1.60072e+08,7.13375e+06,6.43244e+06,6.55353e+09,3.06917e+07,1.08581e+10,3.58878e+09,0,0,
58.0866,5.49941,12.7556,22.8958,0.0735938,0.689063,1.89504e+08,1.39891e+08,6.4351e+06,6.33179e+06,6.5601e+09,3.08947e+07,1.10498e+10,3.3903e+09,0,0,
60.9531,5.33097,9.66272,23.4034,0.0234375,0.626438,1.71982e+08,1.84352e+08,6.86035e+06,4.3892e+06,6.56721e+09,3.0646e+07,1.12293e+10,3.20397e+09,0,0,
56.0149,4.97216,12.613,25.6064,0.062125,0.731531,1.93796e+08,2.0363e+08,5.4377e+06,5.75316e+06,6.57482e+09,3.08352e+07,1.13977e+10,3.02776e+09,0,0,
60.347,5.74709,11.5499,21.6514,0.0271562,0.67725,1.92178e+08,1.91213e+08,5.33706e+06,6.83582e+06,6.58256e+09,3.10442e+07,1.15862e+10,2.83132e+09,0,0,
63.0138,4.90494,10.0132,21.3011,0.0506562,0.716531,1.85574e+08,1.99272e+08,4.79365e+06,4.90059e+06,6.59308e+09,3.12347e+07,1.17554e+10,2.65137e+09,0,0,
58.1475,4.94619,11.7612,24.4654,0.0349375,0.644813,1.74458e+08,1.77869e+08,6.77157e+06,4.7699e+06,6.60384e+09,3.144e+07,1.19179e+10,2.47791e+09,0,0,
63.732,6.16331,10.7709,18.5848,0.0503125,0.698781,1.76856e+08,1.94729e+08,5.34594e+06,6.47632e+06,6.61309e+09,3.12306e+07,1.21028e+10,2.28398e+09,0,0,
62.4018,6.74,8.92478,21.243,0.0390625,0.651438,1.65699e+08,1.93725e+08,5.99046e+06,2.90739e+06,6.62897e+09,3.10602e+07,1.2275e+10,2.09603e+09,0,0,
58.0386,5.738,10.983,24.4775,0.0429688,0.719937,1.84366e+08,2.0096e+08,3.87091e+06,3.87709e+06,6.64508e+09,3.12681e+07,1.24529e+10,1.90187e+09,0,0,
61.0651,5.70066,8.92506,23.5741,0.0658125,0.669375,1.82526e+08,1.74798e+08,6.35062e+06,7.78352e+06,6.65655e+09,3.1476e+07,1.26217e+10,1.72134e+09,0,0,
59.993,5.81681,11.562,21.9801,0.0348125,0.613156,1.52916e+08,1.564e+08,7.53936e+06,9.33758e+06,6.66754e+09,3.12914e+07,1.27682e+10,1.56408e+09,0,0,
56.8679,6.41369,12.8762,23.2028,0.0311875,0.608313,1.48319e+08,1.84362e+08,5.25256e+06,4.36616e+06,6.68309e+09,3.05907e+07,1.29286e+10,1.3888e+09,0,0,
52.3228,5.47906,13.4497,28.0897,0.042875,0.615781,1.53859e+08,1.82883e+08,4.55963e+06,3.05097e+06,6.69702e+09,3.00164e+07,1.30565e+10,1.24749e+09,0,0,
50.723,4.63531,16.3459,27.6959,0.035125,0.564844,1.56836e+08,1.78336e+08,3.4392e+06,3.4362e+06,6.70582e+09,3.00617e+07,1.31681e+10,1.12713e+09,0,0,
57.5524,6.0235,12.3347,23.4681,0.0428125,0.578438,1.66224e+08,1.67885e+08,2.94706e+06,4.78121e+06,6.71518e+09,2.93318e+07,1.3298e+10,9.88615e+08,0,0,
61.9496,6.1505,11.8482,19.4167,0.0390625,0.596094,1.5763e+08,1.65558e+08,3.95701e+06,3.20297e+06,6.7277e+09,2.87549e+07,1.34036e+10,8.70984e+08,0,0,
61.0645,5.21325,11.5972,21.4739,0.0465625,0.604594,1.66109e+08,1.98964e+08,3.30835e+06,4.0788e+06,6.73492e+09,2.85363e+07,1.35042e+10,7.63413e+08,0,0,
58.3167,5.85078,11.7886,23.3696,0.0581875,0.61625,1.56305e+08,1.75551e+08,5.5129e+06,5.5094e+06,6.74093e+09,2.87329e+07,1.35926e+10,6.68826e+08,0,0,
59.1419,6.28937,10.3308,23.5676,0.030875,0.6395,1.53094e+08,1.97606e+08,5.63679e+06,5.40977e+06,6.74562e+09,2.8411e+07,1.36899e+10,5.67164e+08,0,0,
56.8945,5.61737,13.5167,23.3052,0.0546875,0.611687,1.60217e+08,1.7021e+08,5.40661e+06,3.75309e+06,6.75213e+09,2.802e+07,1.37716e+10,4.79312e+08,0,0,
59.1448,5.65241,11.0998,23.4924,0.0507188,0.560125,1.64588e+08,1.54863e+08,3.82693e+06,4.69916e+06,6.75939e+09,2.74738e+07,1.3849e+10,3.95264e+08,0,0,
55.2981,4.80375,13.7791,25.4993,0.042875,0.577281,1.55317e+08,1.7456e+08,3.9564e+06,5.10085e+06,6.76803e+09,2.65997e+07,1.3909e+10,3.27465e+08,0,0,
54.2898,5.9625,14.1263,24.9784,0.046875,0.596063,1.54684e+08,1.79518e+08,4.39708e+06,5.10756e+06,6.7744e+09,2.56108e+07,1.39625e+10,2.68579e+08,0,0,
50.6858,4.65559,13.3851,30.6458,0.0468438,0.581062,1.40794e+08,1.92056e+08,4.79778e+06,5.40828e+06,6.77736e+09,2.54587e+07,1.40038e+10,2.24457e+08,0,0,
56.3537,5.41197,12.5216,25.1333,0.0155312,0.564031,1.38576e+08,1.70162e+08,4.9241e+06,3.77371e+06,6.77934e+09,2.52488e+07,1.40265e+10,1.99973e+08,0,0,
53.7366,4.98459,13.3311,27.3735,0.045875,0.528375,1.24021e+08,1.63962e+08,4.02762e+06,4.42848e+06,6.78352e+09,2.51186e+07,1.40471e+10,1.75307e+08,0,0,
52.9254,6.30088,15.8478,24.3921,0.0506875,0.483125,1.29058e+08,1.63124e+08,3.53243e+06,2.36395e+06,6.78734e+09,2.48499e+07,1.40659e+10,1.53004e+08,0,0,
49.257,5.34566,15.8031,29.0752,0.0351562,0.483906,1.18851e+08,1.67243e+08,3.10803e+06,3.00177e+06,6.78985e+09,2.41649e+07,1.40734e+10,1.43674e+08,0,0,
45.8993,5.17625,17.8184,30.5794,0.0312187,0.495406,1.15012e+08,1.73254e+08,3.31506e+06,3.91892e+06,6.79097e+09,2.43606e+07,1.40826e+10,1.33136e+08,0,0,
